Countries/Regions	Record Count	% of 1,613,471
USA	366088	22.689
PEOPLES R CHINA	300169	18.604
GERMANY	138936	8.611
JAPAN	116508	7.221
INDIA	93443	5.791
ENGLAND	88042	5.457
FRANCE	85161	5.278
ITALY	54787	3.396
SOUTH KOREA	52065	3.227
AUSTRALIA	51175	3.172
SPAIN	49452	3.065
CANADA	48954	3.034
BRAZIL	44454	2.755
RUSSIA	40248	2.494
IRAN	37843	2.345
SWITZERLAND	33207	2.058
NETHERLANDS	30937	1.917
POLAND	26340	1.633
SWEDEN	26156	1.621
TAIWAN	25710	1.593
BELGIUM	20358	1.262
SAUDI ARABIA	19266	1.194
TURKEY	18866	1.169
AUSTRIA	17530	1.086
MEXICO	16198	1.004
CZECH REPUBLIC	15659	0.971
EGYPT	15299	0.948
DENMARK	14473	0.897
MALAYSIA	13848	0.858
SINGAPORE	13303	0.824
ISRAEL	13071	0.810
PORTUGAL	12540	0.777
FINLAND	11754	0.728
SCOTLAND	11623	0.720
ROMANIA	11414	0.707
PAKISTAN	10829	0.671
SOUTH AFRICA	10381	0.643
ARGENTINA	8627	0.535
NORWAY	8618	0.534
THAILAND	8325	0.516
GREECE	8055	0.499
HUNGARY	7951	0.493
IRELAND	6620	0.410
UKRAINE	5784	0.358
NEW ZEALAND	5714	0.354
CHILE	4760	0.295
SLOVENIA	4467	0.277
SLOVAKIA	4143	0.257
ALGERIA	4129	0.256
IRAQ	4008	0.248
WALES	3960	0.245
TURKIYE	3922	0.243
TUNISIA	3906	0.242
SERBIA	3810	0.236
COLOMBIA	3724	0.231
INDONESIA	3650	0.226
VIETNAM	3608	0.224
BULGARIA	3479	0.216
FED REP GER	3307	0.205
MOROCCO	3073	0.190
NIGERIA	2933	0.182
U ARAB EMIRATES	2438	0.151
CROATIA	2293	0.142
USSR	2285	0.142
BANGLADESH	2098	0.130
LITHUANIA	2079	0.129
NORTH IRELAND	2063	0.128
BELARUS	1715	0.106
QATAR	1504	0.093
VENEZUELA	1326	0.082
ESTONIA	1309	0.081
ETHIOPIA	1309	0.081
JORDAN	1258	0.078
KAZAKHSTAN	1242	0.077
LATVIA	997	0.062
PHILIPPINES	905	0.056
PERU	898	0.056
